iter	Passed	Remaining
0	3	368
1	6	321
2	9	293
3	11	270
4	14	267
5	16	259
6	20	276
7	23	273
8	25	262
9	28	252
10	30	246
11	32	238
12	34	230
13	36	222
14	38	216
15	39	207
16	40	198
17	42	192
18	43	184
19	44	177
20	45	170
21	46	165
22	48	161
23	49	156
24	50	150
25	51	146
26	52	142
27	53	137
28	54	133
29	55	129
30	56	125
31	57	121
32	58	117
33	58	114
34	59	110
35	60	107
36	61	104
37	62	101
38	63	98
39	64	96
40	65	93
41	65	90
42	66	88
43	67	86
44	68	84
45	69	81
46	70	79
47	71	77
48	72	75
49	73	73
50	74	71
51	75	69
52	75	67
53	76	65
54	77	63
55	78	61
56	79	59
57	79	57
58	80	56
59	81	54
60	82	52
61	83	51
62	84	49
63	85	48
64	86	46
65	87	44
66	88	43
67	88	41
68	89	40
69	90	38
70	91	37
71	92	36
72	94	34
73	95	33
74	96	32
75	97	30
76	98	29
77	99	28
78	100	26
79	101	25
80	102	24
81	103	22
82	104	21
83	105	20
84	106	18
85	107	17
86	108	16
87	109	14
88	111	13
89	112	12
90	113	11
91	113	9
92	114	8
93	115	7
94	116	6
95	117	4
96	117	3
97	118	2
98	119	1
99	119	0
